Tipo de produto florestal;Tipo de Floresta;Tipo de Uso;Tipo de produto extrativo (com código);Tipo de produto extrativo;Unidade de Medida PEVS;Unidade de Medida transformada;Ano_PEVS;Quantidade PEVS;Quantidade transformada;Valor (mil reais)
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;1994;5155;5155;2098
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;1995;5319;5319;1839
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;1996;4538;4538;1958
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;1997;5237;5237;2608
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;1998;5351;5351;3146
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;1999;5230;5230;3130
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2000;4702;4702;3024
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2001;4417;4417;2996
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2002;4403;4403;3179
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2003;4396;4396;3929
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2004;4518;4518;4133
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2005;4609;4609;4940
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2006;5203;5203;5102
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2007;4887;4887;5473
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2008;4768;4768;6229
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2009;5066;5066;6878
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2010;5715;5715;9120
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2011;8032;8032;10955
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2012;9638;9638;14419
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2013;8293;8293;14935
PFNM;Floresta Natural;Alimentícios;1.8 - Pinhão (Toneladas);Pinhão;Toneladas;Toneladas;2014;8777;8777;19325
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;1994;11639;11639;2889
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;1995;10969;10969;2747
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;1996;10717;10717;2939
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;1997;11590;11590;3339
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;1998;10932;10932;1276
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;1999;10206;10206;3073
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2000;10090;10090;3287
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2001;9919;9919;3498
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2002;9613;9613;3826
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2003;9132;9132;4354
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2004;9237;9237;4704
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2005;9070;9070;4625
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2006;8891;8891;4919
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2007;8619;8619;5092
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2008;9268;9268;6413
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2009;9428;9428;6671
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2010;9804;9804;7499
PFNM;Floresta Natural;Alimentícios;1.9 - Umbu (fruto) (Toneladas);Umbu (fruto);Toneladas;Toneladas;2011;9323;9323;7600
